state,declarationDate,fyDeclared,declarationType,incidentType,declarationTitle,ihProgramDeclared,iaProgramDeclared,paProgramDeclared,hmProgramDeclared,incidentBeginDate,incidentEndDate,disasterCloseoutDate,disasterLength
NV,2024-08-12 00:00:00+00:00,2024,FM,Fire,GOLD RANCH FIRE,0,0,1,1,2024-08-11 00:00:00+00:00,2024-08-11 00:00:00+00:00,,0 days
OR,2024-08-09 00:00:00+00:00,2024,FM,Fire,LEE FALLS FIRE,0,0,1,1,2024-08-08 00:00:00+00:00,2024-08-08 00:00:00+00:00,,0 days
OR,2024-08-06 00:00:00+00:00,2024,FM,Fire,ELK LANE FIRE,0,0,1,1,2024-08-04 00:00:00+00:00,2024-08-04 00:00:00+00:00,,0 days
OR,2024-08-02 00:00:00+00:00,2024,FM,Fire,MILE MARKER 132 FIRE,0,0,1,1,2024-08-02 00:00:00+00:00,2024-08-02 00:00:00+00:00,,0 days
CO,2024-08-01 00:00:00+00:00,2024,FM,Fire,QUARRY FIRE,0,0,1,1,2024-07-30 00:00:00+00:00,2024-07-30 00:00:00+00:00,,0 days
CO,2024-07-31 00:00:00+00:00,2024,FM,Fire,STONE MOUNTAIN FIRE,0,0,1,1,2024-07-30 00:00:00+00:00,2024-07-30 00:00:00+00:00,,0 days
CO,2024-07-31 00:00:00+00:00,2024,FM,Fire,ALEXANDER MOUNTAIN FIRE,0,0,1,1,2024-07-29 00:00:00+00:00,2024-07-29 00:00:00+00:00,,0 days
WY,2024-07-30 00:00:00+00:00,2024,FM,Fire,PLEASANT VALLEY FIRE,0,0,1,1,2024-07-30 00:00:00+00:00,2024-07-30 00:00:00+00:00,,0 days
CA,2024-07-27 00:00:00+00:00,2024,FM,Fire,BOREL FIRE,0,0,1,1,2024-07-25 00:00:00+00:00,2024-07-25 00:00:00+00:00,,0 days
WA,2024-07-26 00:00:00+00:00,2024,FM,Fire,RETREAT FIRE,0,0,1,1,2024-07-23 00:00:00+00:00,2024-07-23 00:00:00+00:00,,0 days
ID,2024-07-26 00:00:00+00:00,2024,FM,Fire,GWEN FIRE,0,0,1,1,2024-07-25 00:00:00+00:00,2024-07-25 00:00:00+00:00,,0 days
CA,2024-07-25 00:00:00+00:00,2024,FM,Fire,PARK FIRE,0,0,1,1,2024-07-24 00:00:00+00:00,2024-07-24 00:00:00+00:00,,0 days
WA,2024-07-24 00:00:00+00:00,2024,FM,Fire,SWAWILLA FIRE ,0,0,1,1,2024-07-17 00:00:00+00:00,2024-07-17 00:00:00+00:00,,0 days
WA,2024-07-23 00:00:00+00:00,2024,FM,Fire,WEST WHITE SWAN FIRE,0,0,1,1,2024-07-22 00:00:00+00:00,2024-07-22 00:00:00+00:00,,0 days
OR,2024-07-22 00:00:00+00:00,2024,FM,Fire,DURKEE FIRE,0,0,1,1,2024-07-21 00:00:00+00:00,2024-07-21 00:00:00+00:00,,0 days
CA,2024-07-21 00:00:00+00:00,2024,FM,Fire,HAWARDEN FIRE,0,0,1,1,2024-07-21 00:00:00+00:00,2024-07-21 00:00:00+00:00,,0 days
OR,2024-07-21 00:00:00+00:00,2024,FM,Fire,BATTLE MOUNTAIN FIRE COMPLEX,0,0,1,1,2024-07-21 00:00:00+00:00,2024-07-21 00:00:00+00:00,,0 days
OR,2024-07-21 00:00:00+00:00,2024,FM,Fire,BONEYARD FIRE,0,0,1,1,2024-07-20 00:00:00+00:00,2024-07-20 00:00:00+00:00,,0 days
OR,2024-07-18 00:00:00+00:00,2024,FM,Fire,FALLS FIRE,0,0,1,1,2024-07-18 00:00:00+00:00,2024-07-18 00:00:00+00:00,,0 days
OR,2024-07-18 00:00:00+00:00,2024,FM,Fire,LONE ROCK FIRE,0,0,1,1,2024-07-17 00:00:00+00:00,2024-07-17 00:00:00+00:00,,0 days
ID,2024-07-16 00:00:00+00:00,2024,FM,Fire,TEXAS FIRE,0,0,1,1,2024-07-15 00:00:00+00:00,2024-07-15 00:00:00+00:00,,0 days
NV,2024-07-16 00:00:00+00:00,2024,FM,Fire,SPRING VALLEY FIRE,0,0,1,1,2024-07-16 00:00:00+00:00,2024-07-16 00:00:00+00:00,,0 days
AZ,2024-07-13 00:00:00+00:00,2024,FM,Fire,WATCH FIRE,0,0,1,1,2024-07-10 00:00:00+00:00,2024-07-10 00:00:00+00:00,,0 days
MT,2024-07-12 00:00:00+00:00,2024,FM,Fire,HORSE GULCH FIRE,0,0,1,1,2024-07-09 00:00:00+00:00,2024-07-09 00:00:00+00:00,,0 days
OR,2024-07-11 00:00:00+00:00,2024,FM,Fire,LARCH CREEK FIRE,0,0,1,1,2024-07-10 00:00:00+00:00,2024-07-10 00:00:00+00:00,,0 days
AZ,2024-07-09 00:00:00+00:00,2024,FM,Fire,SHAKE FIRE,0,0,1,1,2024-07-09 00:00:00+00:00,2024-07-09 00:00:00+00:00,,0 days
UT,2024-07-07 00:00:00+00:00,2024,FM,Fire,SILVER KING FIRE,0,0,1,1,2024-07-07 00:00:00+00:00,2024-07-07 00:00:00+00:00,,0 days
CA,2024-07-05 00:00:00+00:00,2024,FM,Fire,FRENCH FIRE,0,0,1,1,2024-07-04 00:00:00+00:00,2024-07-04 00:00:00+00:00,,0 days
CA,2024-07-02 00:00:00+00:00,2024,FM,Fire,THOMPSON FIRE,0,0,1,1,2024-07-02 00:00:00+00:00,2024-07-02 00:00:00+00:00,,0 days
AZ,2024-06-28 00:00:00+00:00,2024,FM,Fire,BOULDER VIEW FIRE,0,0,1,1,2024-06-27 00:00:00+00:00,2024-06-27 00:00:00+00:00,,0 days
OR,2024-06-25 00:00:00+00:00,2024,FM,Fire,DARLENE 3 FIRE,0,0,1,1,2024-06-25 00:00:00+00:00,2024-06-25 00:00:00+00:00,,0 days
WA,2024-06-23 00:00:00+00:00,2024,FM,Fire,SLIDE RANCH FIRE,0,0,1,1,2024-06-22 00:00:00+00:00,2024-06-22 00:00:00+00:00,,0 days
NM,2024-06-18 00:00:00+00:00,2024,FM,Fire,SALT FIRE,0,0,1,1,2024-06-17 00:00:00+00:00,2024-06-17 00:00:00+00:00,,0 days
NM,2024-06-17 00:00:00+00:00,2024,FM,Fire,SOUTH FORK FIRE,0,0,1,1,2024-06-17 00:00:00+00:00,2024-06-17 00:00:00+00:00,,0 days
AZ,2024-06-12 00:00:00+00:00,2024,FM,Fire,ROSE FIRE,0,0,1,1,2024-06-12 00:00:00+00:00,2024-06-12 00:00:00+00:00,,0 days
NV,2024-06-12 00:00:00+00:00,2024,FM,Fire,SULLIVAN FIRE,0,0,1,1,2024-06-11 00:00:00+00:00,2024-06-11 00:00:00+00:00,,0 days
NV,2024-06-11 00:00:00+00:00,2024,FM,Fire,TRAIL FIRE,0,0,1,1,2024-06-11 00:00:00+00:00,2024-06-11 00:00:00+00:00,,0 days
AZ,2024-05-29 00:00:00+00:00,2024,FM,Fire,SIMMONS FIRE,0,0,1,1,2024-05-28 00:00:00+00:00,2024-05-28 00:00:00+00:00,,0 days
NM,2024-05-26 00:00:00+00:00,2024,FM,Fire,BLUE 2 FIRE ,0,0,1,1,2024-05-16 00:00:00+00:00,2024-05-16 00:00:00+00:00,,0 days
OK,2024-04-06 00:00:00+00:00,2024,FM,Fire,57 FIRE,0,0,1,1,2024-04-06 00:00:00+00:00,2024-04-12 00:00:00+00:00,,6 days
WY,2024-03-01 00:00:00+00:00,2024,FM,Fire,HAPPY JACK FIRE,0,0,1,1,2024-03-01 00:00:00+00:00,2024-03-01 00:00:00+00:00,,0 days
OK,2024-02-27 00:00:00+00:00,2024,FM,Fire,CATESBY FIRE,0,0,1,1,2024-02-27 00:00:00+00:00,2024-03-20 00:00:00+00:00,,22 days
TX,2024-02-27 00:00:00+00:00,2024,FM,Fire,SMOKEHOUSE CREEK FIRE,0,0,1,1,2024-02-27 00:00:00+00:00,2024-03-16 00:00:00+00:00,,18 days
TX,2024-02-27 00:00:00+00:00,2024,FM,Fire,WINDY DEUCE FIRE,0,0,1,1,2024-02-27 00:00:00+00:00,2024-03-16 00:00:00+00:00,,18 days
LA,2023-08-30 00:00:00+00:00,2023,FM,Fire,HIGHWAY 113 FIRE,0,0,1,1,2023-08-30 00:00:00+00:00,2023-10-24 00:00:00+00:00,,55 days
LA,2023-08-27 00:00:00+00:00,2023,FM,Fire,LIONS CAMP ROAD FIRE ,0,0,1,1,2023-08-26 00:00:00+00:00,2023-10-04 00:00:00+00:00,,39 days
LA,2023-08-25 00:00:00+00:00,2023,FM,Fire,IDA FIRE,0,0,1,1,2023-08-25 00:00:00+00:00,2023-10-12 00:00:00+00:00,,48 days
OR,2023-08-24 00:00:00+00:00,2023,FM,Fire,LIBERTY FIRE,0,0,1,1,2023-08-24 00:00:00+00:00,2023-08-24 00:00:00+00:00,,0 days
LA,2023-08-23 00:00:00+00:00,2023,FM,Fire,TIGER ISLAND FIRE ,0,0,1,1,2023-08-23 00:00:00+00:00,2023-10-25 00:00:00+00:00,,63 days
WA,2023-08-19 00:00:00+00:00,2023,FM,Fire,OREGON FIRE,0,0,1,1,2023-08-19 00:00:00+00:00,2023-08-19 00:00:00+00:00,,0 days
MT,2023-08-19 00:00:00+00:00,2023,FM,Fire,RIVER ROAD EAST FIRE,0,0,1,1,2023-08-18 00:00:00+00:00,2023-09-05 00:00:00+00:00,,18 days
WA,2023-08-18 00:00:00+00:00,2023,FM,Fire,GRAY FIRE,0,0,1,1,2023-08-18 00:00:00+00:00,2023-08-18 00:00:00+00:00,,0 days
HI,2023-08-09 00:00:00+00:00,2023,FM,Fire,MAUNA KEA BEACH FIRE,0,0,1,1,2023-08-08 00:00:00+00:00,2023-08-08 00:00:00+00:00,2023-12-27 00:00:00+00:00,0 days
HI,2023-08-09 00:00:00+00:00,2023,FM,Fire,PULEHU FIRE,0,0,1,1,2023-08-09 00:00:00+00:00,2023-08-09 00:00:00+00:00,2023-12-27 00:00:00+00:00,0 days
HI,2023-08-09 00:00:00+00:00,2023,FM,Fire,UPCOUNTRY FIRE,0,0,1,1,2023-08-09 00:00:00+00:00,2023-08-09 00:00:00+00:00,2023-12-27 00:00:00+00:00,0 days
HI,2023-08-09 00:00:00+00:00,2023,FM,Fire,LAHAINA FIRE,0,0,1,1,2023-08-09 00:00:00+00:00,2023-08-09 00:00:00+00:00,2023-12-27 00:00:00+00:00,0 days
HI,2023-08-08 00:00:00+00:00,2023,FM,Fire,KOHALA RANCH FIRE,0,0,1,1,2023-08-08 00:00:00+00:00,2023-08-08 00:00:00+00:00,,0 days
AK,2023-08-03 00:00:00+00:00,2023,FM,Fire,LOST HORSE CREEK FIRE,0,0,1,1,2023-08-02 00:00:00+00:00,2023-08-02 00:00:00+00:00,,0 days
WA,2023-07-30 00:00:00+00:00,2023,FM,Fire,EAGLE BLUFF FIRE,0,0,1,1,2023-07-29 00:00:00+00:00,2023-07-29 00:00:00+00:00,,0 days
OR,2023-07-23 00:00:00+00:00,2023,FM,Fire,GOLDEN FIRE,0,0,1,1,2023-07-22 00:00:00+00:00,2023-07-22 00:00:00+00:00,,0 days
WA,2023-07-23 00:00:00+00:00,2023,FM,Fire,NEWELL ROAD FIRE,0,0,1,1,2023-07-21 00:00:00+00:00,2023-07-21 00:00:00+00:00,,0 days
WA,2023-07-11 00:00:00+00:00,2023,FM,Fire,BAIRD SPRINGS FIRE ,0,0,1,1,2023-07-10 00:00:00+00:00,2023-07-10 00:00:00+00:00,,0 days
WA,2023-07-05 00:00:00+00:00,2023,FM,Fire,MCEWAN FIRE ,0,0,1,1,2023-07-04 00:00:00+00:00,2023-07-04 00:00:00+00:00,,0 days
WA,2023-07-03 00:00:00+00:00,2023,FM,Fire,TUNNEL FIVE FIRE,0,0,1,1,2023-07-02 00:00:00+00:00,2023-07-02 00:00:00+00:00,,0 days
AZ,2023-06-28 00:00:00+00:00,2023,FM,Fire,DIAMOND FIRE,0,0,1,1,2023-06-27 00:00:00+00:00,2023-06-30 00:00:00+00:00,,3 days
NM,2023-05-10 00:00:00+00:00,2023,FM,Fire,LAS TUSAS FIRE,0,0,1,1,2023-05-10 00:00:00+00:00,2023-05-22 00:00:00+00:00,,12 days
RI,2023-04-14 00:00:00+00:00,2023,FM,Fire,QUEENS RIVER FIRE,0,0,1,1,2023-04-14 00:00:00+00:00,2023-04-16 00:00:00+00:00,,2 days
KS,2023-04-13 00:00:00+00:00,2023,FM,Fire,HADDAM FIRE,0,0,1,1,2023-04-13 00:00:00+00:00,2023-04-16 00:00:00+00:00,,3 days
NE,2023-04-09 00:00:00+00:00,2023,FM,Fire,WACONDA-BEAVER LAKE FIRE COMPLEX,0,0,1,1,2023-04-08 00:00:00+00:00,2023-04-11 00:00:00+00:00,,3 days
NM,2023-04-02 00:00:00+00:00,2023,FM,Fire,"ECHO RIDGE FIRE, NM FMAG",0,0,1,1,2023-04-02 00:00:00+00:00,2023-04-07 00:00:00+00:00,,5 days
OK,2023-03-31 00:00:00+00:00,2023,FM,Fire,"GAP ROAD FIRE, OKLAHOMA FMAG",0,0,1,1,2023-03-31 00:00:00+00:00,2023-04-06 00:00:00+00:00,,6 days
OK,2023-03-31 00:00:00+00:00,2023,FM,Fire,"HEFNER FIRE, OKLAHOMA FMAG",0,0,1,1,2023-03-31 00:00:00+00:00,2023-04-03 00:00:00+00:00,,3 days
OK,2023-03-31 00:00:00+00:00,2023,FM,Fire,"SIMPSON FIRE, OKLAHOMA FMAG ",0,0,1,1,2023-03-31 00:00:00+00:00,2023-04-06 00:00:00+00:00,,6 days
