disasterNumber,zip_counts,totalDamage,validRegistrations,totalInspected,approvedForFemaAssistance,disasterLength
1439,320,43195345.95,26224,23578,19205,22 days
1440,23,725363.6499999999,374,358,272,7 days
1441,79,8686327.88,1259,674,400,3 days
1442,68,13802600.0,1148,749,523,7 days
1443,20,2698015.06,1218,886,542,1 days
1444,61,5531450.890000001,640,232,122,0 days
1445,18,975656.82,352,281,199,58 days
1446,36,100976230.87,27162,24585,20626,8 days
1447,2,3706469.1699999995,646,609,559,8 days
1453,65,2994756.91,2796,1784,1551,32 days
1454,291,12107454.92,5549,3798,3420,11 days
1455,398,7829993.2299999995,3378,2557,2190,40 days
1458,81,1564397.58,1197,1081,846,13 days
1459,152,20131402.86,13786,12242,9388,19 days
1460,77,1819150.45,14009,13115,6611,0 days
1461,38,1719502.02,911,601,345,8 days
1462,45,2497424.24,1324,707,503,26 days
1463,287,9379882.82,6101,3254,2339,26 days
1464,398,16749072.89,11655,8108,5731,26 days
1465,171,1924269.15,3145,1314,904,22 days
1466,389,34065375.63,32772,29597,23520,25 days
1467,181,12156393.51,21112,16317,14691,2 days
1469,58,2150264.83,855,571,437,5 days
1470,37,653250.09,265,204,124,3 days
1471,128,4478269.0200000005,1540,1326,1117,23 days
1472,122,4918648.46,4839,4432,3201,39 days
1473,2,11047534.96,6117,6016,4493,2 days
1474,255,12990408.4,4670,4304,3540,34 days
1475,227,7336885.04,3496,3292,2554,13 days
1476,269,16653552.14,5903,5152,4374,33 days
1478,91,2528491.06,1020,913,755,7 days
1479,137,17142407.09,14649,11369,8495,13 days
1482,57,10151332.16,39384,29303,19021,1 days
1484,285,68685076.0,69474,65558,46076,35 days
1485,136,4327265.88,1571,1349,1155,53 days
1486,156,2232401.6,1746,1384,898,23 days
1487,139,10276930.709999999,4085,3780,2958,20 days
1490,436,50157289.35,51134,38706,25713,8 days
1491,702,90866591.92999999,86275,38964,28523,13 days
1492,402,60343794.35,16459,11637,8660,11 days
1493,23,702758.96,1626,1108,699,11 days
1494,51,2611822.26,593,440,344,11 days
1495,1,0.0,1,0,1,0 days
1497,25,1108424.6,372,309,267,8 days
1498,466,16157590.84,35951,22570,10533,162 days
1499,164,3294448.36,1211,999,698,8 days
1500,462,29607999.25,7506,6960,5868,19 days
1501,79,40716052.269999996,56489,55380,41856,13 days
1502,49,1583980.23,651,583,486,1 days
1505,26,10292056.549999999,4371,4025,3414,46 days
1506,8,29299356.32,9036,8886,8082,4 days
1507,103,1411037.34,791,739,506,27 days
1511,1,4457257.37,1820,1799,1763,6 days
1512,148,3176848.82,1910,1797,1584,29 days
1513,29,707532.47,788,429,267,3 days
1517,79,1253148.39,959,673,391,12 days
1518,425,7931357.24,4493,3960,3109,36 days
1519,310,13770694.51,35566,34398,15704,34 days
1520,291,5462151.63,4665,3547,2421,31 days
1521,92,5056289.6899999995,7335,6970,4130,7 days
1522,396,23714758.72,8418,7962,6199,32 days
1523,460,28961461.09,9736,8858,6737,23 days
1524,119,1828657.54,1031,806,571,13 days
1525,45,1787568.24,908,843,693,33 days
1526,319,5824265.899999999,7585,6911,3875,57 days
